Simulation_Run,Gen,Cand,Type,Value,Fit,deprioritized,E_rate_mean,E_rate_fitness,stdev,stdev_fitness,kurtosis,kurtosis_fitness,skewness,skew_fitness,fitness,I_rate_mean,I_rate_fitness,E_ISI_mean,E_ISI_fitness,I_ISI_mean,I_ISI_fitness,avg_IBI,Stdev,Skew,Kurtosis,mean,skew
240808_Run1_testing,gen_1,38,IBI_fitness,2.2547945205479456,178.9612626239422,False,,,,,,,,,,,,,,,,"{'Value': 2.2547945205479456, 'Fit': 623.6645715790404}","{'Value': 1.1456936758462464, 'Fit': 88.31182474979352}","{'Value': 1.0979703430461902, 'Fit': 1.2228533025442547}","{'Value': 0.7988703739393141, 'Fit': 2.6458008643904365}",,
240808_Run1_testing,gen_1,425,IBI_fitness,1.8252808988764044,264.57477420678214,False,,,,,,,,,,,,,,,,"{'Value': 1.8252808988764044, 'Fit': 887.7528711634886}","{'Value': 0.5338867234305144, 'Fit': 162.8258079809283}","{'Value': 0.552587160767667, 'Fit': 1.410855533352627}","{'Value': 1.6679628543769116, 'Fit': 6.309562149358856}",,
240808_Run1_testing,gen_1,409,IBI_fitness,1.8820809248554915,242.4520235560993,False,,,,,,,,,,,,,,,,"{'Value': 1.8820809248554915, 'Fit': 797.8902771518334}","{'Value': 0.905776104692916, 'Fit': 112.25707857361378}","{'Value': 1.7176926342348366, 'Fit': 2.272565096171638}","{'Value': 3.8757348140079575, 'Fit': 57.388173402778406}",,
240808_Run1_testing,gen_1,507,IBI_fitness,1.7913580246913583,519.8599100814113,False,,,,,,,,,,,,,,,,"{'Value': 1.7913580246913583, 'Fit': 950.666678386322}","{'Value': 1.1796837336017205, 'Fit': 85.36054199685424}","{'Value': 4.66752901635162, 'Fit': 43.412419942468745}","{'Value': 23.27184420332515, 'Fit': 1000}",,
240808_Run1_testing,gen_1,151,IBI_fitness,1.7713513513513512,247.2511146059909,False,,,,,,,,,,,,,,,,"{'Value': 1.7713513513513512, 'Fit': 843.4000847739279}","{'Value': 0.6944496641310203, 'Fit': 138.672914349806}","{'Value': 1.2463262872153915, 'Fit': 1.4184189627758785}","{'Value': 1.5330128265594203, 'Fit': 5.513040337453788}",,
240808_Run1_testing,gen_1,72,IBI_fitness,1.7907608695652177,254.49224757116573,False,,,,,,,,,,,,,,,,"{'Value': 1.7907608695652177, 'Fit': 858.837035834583}","{'Value': 0.5806400772753922, 'Fit': 155.38837261564484}","{'Value': 0.8366716022830981, 'Fit': 1.0619553091052334}","{'Value': 0.8123200930527981, 'Fit': 2.6816265253299294}",,
240808_Run1_testing,gen_1,67,IBI_fitness,1.95,1000.0,True,,,,,,,,,,,,,,,,"{'Value': 1.95, 'Fit': 1000.0}","{'Value': 0.050000000000000044, 'Fit': 1000}","{'Value': 0.0, 'Fit': 1000}","{'Value': -2.0, 'Fit': 6.20835875398264}",,
240808_Run1_testing,gen_1,486,IBI_fitness,1.784153005464481,252.94683815829458,False,,,,,,,,,,,,,,,,"{'Value': 1.784153005464481, 'Fit': 858.0656513029759}","{'Value': 0.624036059784795, 'Fit': 148.78936236064035}","{'Value': 1.0881097482349589, 'Fit': 1.2108544965180095}","{'Value': 1.1400192107689637, 'Fit': 3.7214844730441117}",,
240808_Run1_testing,gen_1,19,IBI_fitness,1.7751351351351352,256.9937929194222,False,,,,,,,,,,,,,,,,"{'Value': 1.7751351351351352, 'Fit': 865.0000747140984}","{'Value': 0.5828430859327193, 'Fit': 155.0464274778694}","{'Value': 1.2765462885761154, 'Fit': 1.4619378441763222}","{'Value': 1.6925673952025955, 'Fit': 6.466731641544618}",,
240808_Run1_testing,gen_1,0,IBI_fitness,1.958682634730539,1000.0,True,,,,,,,,,,,,,,,,"{'Value': 1.958682634730539, 'Fit': 694.9163375361992}","{'Value': 0.7110964384584326, 'Fit': 136.38356564245714}","{'Value': 0.4492354354320539, 'Fit': 1.5644714056393498}","{'Value': -0.85667427933322, 'Fit': 1.9789588033941377}",,
240808_Run1_testing,gen_1,250,IBI_fitness,2.5858267716535437,162.52916324360038,False,,,,,,,,,,,,,,,,"{'Value': 2.5858267716535437, 'Fit': 590.9608012890554}","{'Value': 1.6086735578299383, 'Fit': 55.58393008803574}","{'Value': 0.6948443089091172, 'Fit': 1.223773519016957}","{'Value': -1.0277303954996082, 'Fit': 2.348148078293368}",,
240808_Run1_testing,gen_1,70,IBI_fitness,1.7347368421052634,252.3573107660268,False,,,,,,,,,,,,,,,,"{'Value': 1.7347368421052634, 'Fit': 858.0369201473801}","{'Value': 0.628911912676027, 'Fit': 148.06565310171555}","{'Value': 1.0788635796399018, 'Fit': 1.1997103315076822}","{'Value': 0.5805900575687191, 'Fit': 2.1269594835037653}",,
240808_Run1_testing,gen_1,25,IBI_fitness,2.156291390728477,202.5483750022926,False,,,,,,,,,,,,,,,,"{'Value': 2.156291390728477, 'Fit': 702.2849185042278}","{'Value': 0.9710086350780188, 'Fit': 105.1679982665395}","{'Value': 1.0287261290144605, 'Fit': 1.1410429203653838}","{'Value': 0.2956128569307772, 'Fit': 1.5995403180377348}",,
240808_Run1_testing,gen_1,504,IBI_fitness,1.7407407407407411,253.7629235911435,False,,,,,,,,,,,,,,,,"{'Value': 1.7407407407407411, 'Fit': 867.8572142453224}","{'Value': 0.6756392085958639, 'Fit': 141.30610313739766}","{'Value': 1.198239208488606, 'Fit': 1.3518253173002577}","{'Value': 1.338063748390474, 'Fit': 4.536551664553638}",,
240808_Run1_testing,gen_1,162,IBI_fitness,2.007926829268293,213.46916062375047,False,,,,,,,,,,,,,,,,"{'Value': 2.007926829268293, 'Fit': 744.1586666543004}","{'Value': 0.9620218011383903, 'Fit': 106.1173852044845}","{'Value': 1.1463554598240762, 'Fit': 1.2834759937681521}","{'Value': 0.6662192932463942, 'Fit': 2.3171146424487175}",,
240808_Run1_testing,gen_1,290,IBI_fitness,1.45,751.5520896884957,False,,,,,,,,,,,,,,,,"{'Value': 1.45, 'Fit': 1000.0}","{'Value': 0.44999999999999996, 'Fit': 1000}","{'Value': 0.0, 'Fit': 1000}","{'Value': -2.0, 'Fit': 6.20835875398264}",,
240808_Run1_testing,gen_1,389,IBI_fitness,1.7273684210526319,256.98802151361843,False,,,,,,,,,,,,,,,,"{'Value': 1.7273684210526319, 'Fit': 879.0684874154235}","{'Value': 0.640549452507794, 'Fit': 146.3525208230078}","{'Value': 0.846515116367977, 'Fit': 1.0515532176217781}","{'Value': 0.2176173890816706, 'Fit': 1.4795245984205792}",,
240808_Run1_testing,gen_1,101,IBI_fitness,1.7515957446808512,265.2600309447631,False,,,,,,,,,,,,,,,,"{'Value': 1.7515957446808512, 'Fit': 899.037289307758}","{'Value': 0.5753330269476853, 'Fit': 156.2152186455428}","{'Value': 1.0863662017627895, 'Fit': 1.2087451548342794}","{'Value': 1.3473489595086914, 'Fit': 4.578870670917416}",,
240808_Run1_testing,gen_1,428,IBI_fitness,1.8187845303867405,264.55948478624623,False,,,,,,,,,,,,,,,,"{'Value': 1.8187845303867405, 'Fit': 895.1326548683834}","{'Value': 0.5575009976785912, 'Fit': 159.02583804376277}","{'Value': 0.6875830847986538, 'Fit': 1.232691952987262}","{'Value': 0.8720760663144858, 'Fit': 2.846754279851426}",,
240808_Run1_testing,gen_1,31,IBI_fitness,1.7136125654450265,269.6675540775679,False,,,,,,,,,,,,,,,,"{'Value': 1.7136125654450265, 'Fit': 895.3927266696124}","{'Value': 0.6201022012110745, 'Fit': 149.37583145636893}","{'Value': 1.4782067316614873, 'Fit': 1.7885822899714083}","{'Value': 3.2951598661150374, 'Fit': 32.11307589431893}",,
240808_Run1_testing,gen_1,470,IBI_fitness,2.0234567901234572,275.43939870942654,False,,,,,,,,,,,,,,,,"{'Value': 2.0234567901234572, 'Fit': 765.6667822599666}","{'Value': 1.0804401943490467, 'Fit': 94.26665256561019}","{'Value': 2.0364234601150573, 'Fit': 3.1256429865497686}","{'Value': 5.30109789080357, 'Fit': 238.69851702557963}",,
240808_Run1_testing,gen_1,381,IBI_fitness,1.7404255319148938,249.92750214826376,False,,,,,,,,,,,,,,,,"{'Value': 1.7404255319148938, 'Fit': 851.2128472294664}","{'Value': 0.6530320687013592, 'Fit': 144.5370131927419}","{'Value': 1.1741007574056361, 'Fit': 1.3195850287449424}","{'Value': 0.7968887760030743, 'Fit': 2.6405631421016245}",,
240808_Run1_testing,gen_1,188,IBI_fitness,1.9358823529411766,232.6022098921153,False,,,,,,,,,,,,,,,,"{'Value': 1.9358823529411766, 'Fit': 794.3236399712055}","{'Value': 0.7388031563320705, 'Fit': 132.65669278590033}","{'Value': 0.959420304110635, 'Fit': 1.0646401574252342}","{'Value': 0.6861952611763451, 'Fit': 2.3638666539301654}",,
240808_Run1_testing,gen_1,442,IBI_fitness,1.9378698224852071,227.0154142588341,False,,,,,,,,,,,,,,,,"{'Value': 1.9378698224852071, 'Fit': 781.284138771922}","{'Value': 0.8439749328006281, 'Fit': 119.41355939892912}","{'Value': 1.2195277646317262, 'Fit': 1.3809122372130238}","{'Value': 1.6148264778609445, 'Fit': 5.983046627272354}",,
240808_Run1_testing,gen_1,209,IBI_fitness,1.8177142857142858,732.1101910009469,False,,,,,,,,,,,,,,,,"{'Value': 1.8177142857142858, 'Fit': 914.3714739165468}","{'Value': 2.9825732760384573, 'Fit': 14.069290087240748}","{'Value': 11.963458797348139, 'Fit': 1000}","{'Value': 149.0411989434921, 'Fit': 1000}",,
240808_Run1_testing,gen_1,165,IBI_fitness,1.6590909090909092,256.1035605508963,False,,,,,,,,,,,,,,,,"{'Value': 1.6590909090909092, 'Fit': 873.8637064577237}","{'Value': 0.6317309728346149, 'Fit': 147.64883491201846}","{'Value': 0.9941460103129214, 'Fit': 1.102259945273444}","{'Value': 0.413372569379606, 'Fit': 1.7994408885696984}",,
240808_Run1_testing,gen_1,94,IBI_fitness,1.74021164021164,262.651972669621,False,,,,,,,,,,,,,,,,"{'Value': 1.74021164021164, 'Fit': 889.000062388639}","{'Value': 0.5571772752499713, 'Fit': 159.07732660781946}","{'Value': 0.7331916935870357, 'Fit': 1.1777334058673408}","{'Value': 0.12804963801362668, 'Fit': 1.3527682761581878}",,
240808_Run1_testing,gen_1,192,IBI_fitness,1.8674285714285714,250.33692943803723,False,,,,,,,,,,,,,,,,"{'Value': 1.8674285714285714, 'Fit': 845.8686562677707}","{'Value': 0.6321136554998541, 'Fit': 147.5923430722682}","{'Value': 1.0213918447900197, 'Fit': 1.1327048017179489}","{'Value': 1.7360335073119195, 'Fit': 6.754013610392076}",,
240808_Run1_testing,gen_1,383,IBI_fitness,3.9853658536585375,84.71169532423148,False,,,,,,,,,,,,,,,,"{'Value': 3.9853658536585375, 'Fit': 293.39049696913537}","{'Value': 1.952616877687262, 'Fit': 39.40728952158319}","{'Value': 0.17584789390762154, 'Fit': 2.0563561318804635}","{'Value': 1.2103489044016058, 'Fit': 3.9926386743268556}",,
240808_Run1_testing,gen_1,316,IBI_fitness,1.9145348837209306,735.2941395449845,False,,,,,,,,,,,,,,,,"{'Value': 1.9145348837209306, 'Fit': 924.4942278671359}","{'Value': 2.812217595941442, 'Fit': 16.6823303128023}","{'Value': 12.385263614415642, 'Fit': 1000}","{'Value': 156.37711301528628, 'Fit': 1000}",,
240808_Run1_testing,gen_2,64,IBI_fitness,1.8209944751381217,264.53659450955286,False,,,,,,,,,,,,,,,,"{'Value': 1.8209944751381217, 'Fit': 867.5359820917735}","{'Value': 0.6735747014418768, 'Fit': 141.59813194228178}","{'Value': 1.602233551992475, 'Fit': 2.0247578427829684}","{'Value': 3.6757783102085693, 'Fit': 46.98750616137315}",,
240808_Run1_testing,gen_2,39,IBI_fitness,2.2100671140939596,247.8354321175776,False,,,,,,,,,,,,,,,,"{'Value': 2.2100671140939596, 'Fit': 772.040402129688}","{'Value': 0.2584790221500985, 'Fit': 214.45258563998303}","{'Value': 0.86827885181448, 'Fit': 1.0289147341402007}","{'Value': 1.1661014332629325, 'Fit': 3.8198259664990872}",,
240808_Run1_testing,gen_2,109,IBI_fitness,1.8988439306358382,253.12042573158044,False,,,,,,,,,,,,,,,,"{'Value': 1.8988439306358382, 'Fit': 849.8613558143486}","{'Value': 0.5689447121372552, 'Fit': 157.2163650548708}","{'Value': 0.7794606753400171, 'Fit': 1.1244823169698228}","{'Value': 1.2797326898060826, 'Fit': 4.27949974013248}",,
240808_Run1_testing,gen_2,493,IBI_fitness,1.744385026737968,265.36409696758653,False,,,,,,,,,,,,,,,,"{'Value': 1.744385026737968, 'Fit': 893.155138640611}","{'Value': 0.5912987802087344, 'Fit': 153.74092951281193}","{'Value': 1.3396966314951186, 'Fit': 1.557237143315215}","{'Value': 2.3910830205899227, 'Fit': 13.003082573608097}",,
