Simulation_Run,Gen,Cand,Type,Value,Fit,deprioritized,E_rate_mean,E_rate_fitness,stdev,stdev_fitness,kurtosis,kurtosis_fitness,skewness,skew_fitness,fitness,E_ISI_mean,E_ISI_fitness,I_rate_mean,I_rate_fitness,I_ISI_mean,I_ISI_fitness,avg_IBI,Stdev,Skew,Kurtosis,mean,skew
240808_Run1_testing,gen_1,458,big_burst_fit,6788.598954624854,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,453,big_burst_fit,3385.34287843392,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,86,big_burst_fit,1846.4111380930992,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,260,big_burst_fit,3603.67049232766,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,0,big_burst_fit,4973.164279879944,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,118,big_burst_fit,5008.054411378829,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,124,big_burst_fit,2369.087675380396,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,156,big_burst_fit,2962.512669077016,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,448,big_burst_fit,2086.0169175449278,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,378,big_burst_fit,2752.1840102787137,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,333,big_burst_fit,2647.9419486901215,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,437,big_burst_fit,2179.589595087804,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,82,big_burst_fit,5037.929248499128,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,454,big_burst_fit,3001.138064067044,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,350,big_burst_fit,2912.3614161152877,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,181,big_burst_fit,2783.3737869225697,1000.0,True,,,,,,,,,,,,,,,,,,,,,
240808_Run1_testing,gen_1,103,big_burst_fit,1479.424041134716,500.5001958657262,False,,,,,,,,,,,,,,,,,,,,,
