Simulation_Run,Gen,Cand,Type,Value,Fit,deprioritized,E_rate_mean,E_rate_fitness,stdev,stdev_fitness,kurtosis,kurtosis_fitness,skewness,skew_fitness,fitness,E_ISI_mean,E_ISI_fitness,I_rate_mean,I_rate_fitness,I_ISI_mean,I_ISI_fitness,avg_IBI,Stdev,Skew,Kurtosis,mean,skew
240808_Run1_testing,gen_1,19,bimodal_burst_fit,0.005405405405405406,800.3279666613992,False,,,"{'Value': 100.24205447791162, 'Fit': 1000}",,"{'Value': 105.7727584181718, 'Fit': 1000}",,,,,,,,,,,,,,,"{'Value': 688.8503350659718, 'Fit': 1000}","{'Value': 9.115095463273454, 'Fit': 1000}"
240808_Run1_testing,gen_3,336,bimodal_burst_fit,0.005988023952095809,800.327775637592,False,,,"{'Value': 96.16646138291972, 'Fit': 1000}",,"{'Value': 109.44950801451785, 'Fit': 1000}",,,,,,,,,,,,,,,"{'Value': 571.1166640441785, 'Fit': 1000}","{'Value': 9.593494663996086, 'Fit': 1000}"
240808_Run1_testing,gen_3,213,bimodal_burst_fit,0.00847457627118644,625.775063740999,False,,,"{'Value': 135.63267585355072, 'Fit': 1000}",,"{'Value': 45.92386251579421, 'Fit': 1000}",,,,,,,,,,,,,,,"{'Value': 670.0860768111669, 'Fit': 1000}","{'Value': 5.634656599192879, 'Fit': 127.24051061104625}"
240808_Run1_testing,gen_3,256,bimodal_burst_fit,0.005128205128205128,800.3280575864503,False,,,"{'Value': 58.911875822655915, 'Fit': 1000}",,"{'Value': 123.06074136683955, 'Fit': 1000}",,,,,,,,,,,,,,,"{'Value': 554.5476087748928, 'Fit': 1000}","{'Value': 10.060872507249645, 'Fit': 1000}"
240808_Run1_testing,gen_3,174,bimodal_burst_fit,0.00546448087431694,800.3279472871872,False,,,"{'Value': 62.82513567855026, 'Fit': 1000}",,"{'Value': 169.3506209798406, 'Fit': 1000}",,,,,,,,,,,,,,,"{'Value': 622.016050453095, 'Fit': 1000}","{'Value': 12.914680006931986, 'Fit': 1000}"
240808_Run1_testing,gen_3,261,bimodal_burst_fit,0.0072992700729927005,800.3273461247188,False,,,"{'Value': 96.92693646949449, 'Fit': 1000}",,"{'Value': 111.84117351639753, 'Fit': 1000}",,,,,,,,,,,,,,,"{'Value': 420.21988620657794, 'Fit': 1000}","{'Value': 10.278564105727877, 'Fit': 1000}"
240808_Run1_testing,gen_4,223,bimodal_burst_fit,0.16666666666666666,404.7745073290721,False,,,"{'Value': 379.8227835198902, 'Fit': 1000}",,"{'Value': 2.1190157364463813, 'Fit': 19.053982148119385}",,,,,,,,,,,,,,,"{'Value': 560.6044048832508, 'Fit': 1000}","{'Value': 2.0190779556274694, 'Fit': 3.4229420721550174}"
240808_Run1_testing,gen_4,420,bimodal_burst_fit,0.02702702702702703,613.9618727476429,False,,,"{'Value': 160.47097872092084, 'Fit': 1000}",,"{'Value': 24.96955195316305, 'Fit': 1000}",,,,,,,,,,,,,,,"{'Value': 714.3638783217796, 'Fit': 1000}","{'Value': 5.0110896145770125, 'Fit': 68.20460572766291}"
240808_Run1_testing,gen_4,0,bimodal_burst_fit,1.3428571428571427,1000.0,True,,,"{'Value': 66.83403526595256, 'Fit': 1000}",,"{'Value': 8.944965704011517, 'Fit': 1000}",,,,,,,,,,,,,,,"{'Value': 1267.5513870439102, 'Fit': 1000}","{'Value': 2.028759120062383, 'Fit': 3.4562410636343097}"
240808_Run1_testing,gen_4,139,bimodal_burst_fit,0.005952380952380952,800.3277873207071,False,,,"{'Value': 99.98816139152194, 'Fit': 1000}",,"{'Value': 100.39609077916396, 'Fit': 1000}",,,,,,,,,,,,,,,"{'Value': 517.0820399435372, 'Fit': 1000}","{'Value': 9.008706447152177, 'Fit': 1000}"
240808_Run1_testing,gen_4,128,bimodal_burst_fit,0.005747126436781609,610.8523903126068,False,,,"{'Value': 86.64988489633255, 'Fit': 1000}",,"{'Value': 40.132292157818995, 'Fit': 1000}",,,,,,,,,,,,,,,"{'Value': 749.7306880635984, 'Fit': 1000}","{'Value': 4.751724696850306, 'Fit': 52.62267852583348}"
240808_Run1_testing,gen_4,255,bimodal_burst_fit,0.006756756756756757,630.9487797690896,False,,,"{'Value': 77.04348941775804, 'Fit': 1000}",,"{'Value': 50.31604303252634, 'Fit': 1000}",,,,,,,,,,,,,,,"{'Value': 725.259228021983, 'Fit': 1000}","{'Value': 5.819709840322562, 'Fit': 153.10628003279004}"
240808_Run1_testing,gen_6,250,bimodal_burst_fit,0.006211180124223602,800.3277025005962,False,,,"{'Value': 104.02259047997352, 'Fit': 1000}",,"{'Value': 87.15426245062577, 'Fit': 1000}",,,,,,,,,,,,,,,"{'Value': 437.5963367509196, 'Fit': 1000}","{'Value': 8.862235561218714, 'Fit': 1000}"
