"Parameter","Range / value"
"Propagation velocity\n— <small>Conduction velocity used to map distance → delay, with delay computed as `dist_3D / propVelocity` (µm/ms, assuming `dist_3D` in µm and delay in ms)</small>","0.1 → 0.3"
"Connection distance length constant\n— <small>Length constant for distance-dependent connection probability in `exp(-dist_3D / probLengthConst)` (µm)</small>","1 → 5000"
"E→E connection probability scale\n— <small>Baseline multiplicative scale for excitatory→excitatory connection probability (dimensionless)</small>","0 → 1"
"E→I connection probability scale\n— <small>Baseline multiplicative scale for excitatory→inhibitory connection probability (dimensionless)</small>","0 → 1"
"I→E connection probability scale\n— <small>Baseline multiplicative scale for inhibitory→excitatory connection probability (dimensionless)</small>","0 → 1"
"I→I connection probability scale\n— <small>Baseline multiplicative scale for inhibitory→inhibitory connection probability (dimensionless)</small>","0 → 1"
"E→E synaptic weight\n— <small>Synaptic weight scalar for excitatory→excitatory connections (NetPyNE/NEURON model weight units)</small>","0 → 1000"
"E→I synaptic weight\n— <small>Synaptic weight scalar for excitatory→inhibitory connections (NetPyNE/NEURON model weight units)</small>","0 → 1000"
"I→E synaptic weight\n— <small>Synaptic weight scalar for inhibitory→excitatory connections (NetPyNE/NEURON model weight units)</small>","0 → 1000"
"I→I synaptic weight\n— <small>Synaptic weight scalar for inhibitory→inhibitory connections (NetPyNE/NEURON model weight units)</small>","0 → 1000"
"Excitatory synapse rise time constant\n— <small>Rise time constant of excitatory `Exp2Syn` (ms)</small>","0.1 → 100"
"Excitatory synapse decay time constant\n— <small>Decay time constant of excitatory `Exp2Syn` (ms)</small>","0.1 → 500"
"Inhibitory synapse rise time constant\n— <small>Rise time constant of inhibitory `Exp2Syn` (ms)</small>","0.1 → 100"
"Inhibitory synapse decay time constant\n— <small>Decay time constant of inhibitory `Exp2Syn` (ms)</small>","0.1 → 1000"
"Excitatory reversal potential (fixed)\n— <small>Reversal potential of excitatory synapses (mV)</small>","0"
"Inhibitory reversal potential (fixed)\n— <small>Reversal potential of inhibitory synapses (mV)</small>","-75"
"E-cell Na⁺ conductance density, mean\n— <small>Mean maximal sodium conductance density in soma HH mechanism for excitatory cells (S·cm⁻²)</small>","0 → 12"
"E-cell Na⁺ conductance density, std\n— <small>Std of maximal sodium conductance density for excitatory cells (S·cm⁻²)</small>","0 → 4"
"E-cell K⁺ conductance density, mean\n— <small>Mean maximal potassium conductance density in soma HH mechanism for excitatory cells (S·cm⁻²)</small>","0 → 4"
"E-cell K⁺ conductance density, std\n— <small>Std of maximal potassium conductance density for excitatory cells (S·cm⁻²)</small>","0 → 1"
"I-cell Na⁺ conductance density, mean\n— <small>Mean maximal sodium conductance density in soma HH mechanism for inhibitory cells (S·cm⁻²)</small>","0 → 10"
"I-cell Na⁺ conductance density, std\n— <small>Std of maximal sodium conductance density for inhibitory cells (S·cm⁻²)</small>","0 → 3"
"I-cell K⁺ conductance density, mean\n— <small>Mean maximal potassium conductance density in soma HH mechanism for inhibitory cells (S·cm⁻²)</small>","0 → 5"
"I-cell K⁺ conductance density, std\n— <small>Std of maximal potassium conductance density for inhibitory cells (S·cm⁻²)</small>","0 → 2"
"Leak conductance density (fixed)\n— <small>Leak conductance density in soma HH mechanism (S·cm⁻²)</small>","0.003"
"Leak reversal potential (fixed)\n— <small>Leak reversal potential in soma HH mechanism (mV)</small>","-70"
"E-cell soma length, mean / std\n— <small>Soma length for excitatory cells (µm); mean and heterogeneity</small>","50 → 1000 / 0 → 150"
"E-cell soma diameter, mean / std\n— <small>Soma diameter for excitatory cells (µm); mean and heterogeneity</small>","5 → 30 / 0 → 12"
"E-cell axial resistance, mean / std\n— <small>Axial resistance for excitatory cells (Ω·cm); mean and heterogeneity</small>","70 → 200 / 0 → 50"
"I-cell soma length, mean / std\n— <small>Soma length for inhibitory cells (µm); mean and heterogeneity</small>","50 → 500 / 0 → 100"
"I-cell soma diameter, mean / std\n— <small>Soma diameter for inhibitory cells (µm); mean and heterogeneity</small>","4 → 15 / 0 → 6"
"I-cell axial resistance, mean / std\n— <small>Axial resistance for inhibitory cells (Ω·cm); mean and heterogeneity</small>","80 → 200 / 0 → 40"
