[2024-09-30 05:02:47,511] INFO: generated new fontManager
[2024-09-30 05:02:53,287] DEBUG: generating initial population
[2024-09-30 05:02:53,288] DEBUG: evaluating initial population
[2024-09-30 05:03:39,045] DEBUG: population size is now 10
[2024-09-30 05:03:39,046] DEBUG: archiving initial population
[2024-09-30 05:03:39,046] DEBUG: archive size is now 0
[2024-09-30 05:03:39,046] DEBUG: population size is now 10
[2024-09-30 05:03:39,047] DEBUG: observation using stats_observer at generation 0 and evaluation 10
[2024-09-30 05:03:39,051] DEBUG: observation using file_observer at generation 0 and evaluation 10
[2024-09-30 05:03:39,055] DEBUG: termination test using generation_termination at generation 0 and evaluation 10
[2024-09-30 05:03:39,055] DEBUG: selection using tournament_selection at generation 0 and evaluation 10
[2024-09-30 05:03:39,056] DEBUG: selected 10 candidates
[2024-09-30 05:03:39,059] DEBUG: variation using uniform_crossover at generation 0 and evaluation 10
[2024-09-30 05:03:39,060] DEBUG: variation using nonuniform_bounds_mutation at generation 0 and evaluation 10
[2024-09-30 05:03:39,062] DEBUG: created 10 offspring
[2024-09-30 05:03:39,062] DEBUG: evaluation using func at generation 0 and evaluation 10
